 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
2574,349,44,90.482,186.470,0,1.367,1.299,2.146,3.954,7.990,0.051
2575,349,45,89.736,186.615,0,1.494,1.388,2.441,4.791,10.280,0.091
2576,349,46,89.939,186.369,0,1.974,1.367,2.360,4.513,9.365,0.045
2577,349,47,91.281,186.181,0,1.694,1.453,2.667,5.447,12.071,0.048
2578,349,48,90.607,186.654,0,1.927,1.411,2.496,4.929,10.640,0.060
2579,349,49,91.550,187.240,0,2.311,1.360,2.332,4.443,9.231,0.024
2580,349,50,92.183,187.369,0,2.059,1.346,2.273,4.243,8.600,0.018
2581,349,51,92.381,187.590,0,2.093,1.439,2.566,5.047,10.723,0.032
2582,349,52,92.744,187.509,0,2.237,1.458,2.671,5.436,11.991,0.016
2583,349,53,92.925,188.345,0,2.469,1.397,2.441,4.713,9.844,0.017
2584,349,54,93.308,188.392,0,2.491,1.335,2.256,4.235,8.674,0.020
2585,349,55,93.378,188.168,0,2.309,1.353,2.293,4.299,8.751,0.019
2586,349,56,93.204,188.384,0,1.887,1.455,2.656,5.385,11.848,0.038
2587,349,57,92.754,188.377,0,2.556,1.477,2.696,5.424,11.758,0.022
2588,349,58,92.883,187.778,0,2.224,1.500,2.799,5.786,12.927,0.034
2589,349,59,92.805,187.964,0,2.186,1.453,2.639,5.309,11.554,0.027
2590,349,60,93.604,188.995,0,1.903,1.384,2.409,4.634,9.642,0.025
2591,349,61,93.391,188.726,0,2.232,1.400,2.453,4.749,9.953,0.027
2592,349,62,93.990,188.622,0,1.770,1.425,2.545,5.033,10.780,0.044
2593,349,63,92.359,188.107,0,1.219,1.437,2.610,5.276,11.609,0.074
2594,349,64,93.723,188.014,0,1.115,1.255,2.038,3.688,7.313,0.071
2595,349,65,94.079,188.248,0,1.938,1.337,2.257,4.219,8.570,0.069
2596,349,66,94.313,187.909,0,1.537,1.311,2.172,3.984,7.949,0.042
2597,349,67,94.449,188.972,0,1.995,1.407,2.486,4.854,10.247,0.032
2598,349,68,94.842,189.969,0,1.795,1.492,2.791,5.808,13.116,0.057
2599,349,69,94.435,190.449,0,2.741,1.329,2.212,4.064,8.093,0.015
2600,349,70,94.562,190.311,0,2.176,1.404,2.474,4.831,10.223,0.023
2601,349,71,94.633,190.313,0,1.783,1.393,2.451,4.782,10.127,0.028
2602,349,72,94.717,190.958,0,2.067,1.368,2.350,4.445,9.067,0.062
